repo,owner,language,visibility,web_url,match_count,categories,scanned,error
cipher_cli,ursa-mikail,Go,public,https://github.com/ursa-mikail/cipher_cli,47,"cipher_mode, symmetric",True,
code_profile_and_edit,ursa-mikail,Jupyter Notebook,public,https://github.com/ursa-mikail/code_profile_and_edit,10,"fpe_token, symmetric",True,
ciphers,ursa-mikail,Python,public,https://github.com/ursa-mikail/ciphers,858,"asymmetric, cipher_mode, kdf, key_mgmt, py_import, random, signature, symmetric",True,
collab_interface_config_setting_ML_platform,ursa-mikail,Jupyter Notebook,public,https://github.com/ursa-mikail/collab_interface_config_setting_ML_platform,0,,True,
convert_jupyter_notebook_to_python,ursa-mikail,Python,public,https://github.com/ursa-mikail/convert_jupyter_notebook_to_python,0,,True,
contact_tracing_simulation_on_world_map,ursa-mikail,Python,public,https://github.com/ursa-mikail/contact_tracing_simulation_on_world_map,1,symmetric,True,
context_management,ursa-mikail,Python,public,https://github.com/ursa-mikail/context_management,2,random,True,
cipher_js,ursa-mikail,JavaScript,public,https://github.com/ursa-mikail/cipher_js,212,"asymmetric, cipher_mode, hash_func, kdf, key_mgmt, signature, symmetric",True,
crime_data_location_heat_map,ursa-mikail,Python,public,https://github.com/ursa-mikail/crime_data_location_heat_map,0,,True,
credit_card_tokens,ursa-mikail,Python,public,https://github.com/ursa-mikail/credit_card_tokens,557,"fpe_token, hash_func, kdf, py_import, symmetric",True,
cuda_c_starter_kit,ursa-mikail,Cuda,public,https://github.com/ursa-mikail/cuda_c_starter_kit,1,symmetric,True,
cryptographic_permit_system_with_dynamic_policy_ui,ursa-mikail,TypeScript,public,https://github.com/ursa-mikail/cryptographic_permit_system_with_dynamic_policy_ui,50,"signature, symmetric",True,
crypto_frails_and_fails,ursa-mikail,Python,public,https://github.com/ursa-mikail/crypto_frails_and_fails,422,"asymmetric, cipher_mode, dependency, hash_func, kdf, key_mgmt, py_import, random, symmetric, zkp",True,
curl-email,ursa-mikail,Python,public,https://github.com/ursa-mikail/curl-email,1,py_import,True,
data_elements,ursa-mikail,Python,public,https://github.com/ursa-mikail/data_elements,0,,True,
data_harvestor,ursa-mikail,Python,public,https://github.com/ursa-mikail/data_harvestor,0,,True,
CVE_data_analysis,ursa-mikail,Python,public,https://github.com/ursa-mikail/CVE_data_analysis,0,,True,
data_pull,ursa-mikail,Shell,public,https://github.com/ursa-mikail/data_pull,12,"asymmetric, cipher_mode, symmetric",True,
demo_timing_attack,ursa-mikail,Python,public,https://github.com/ursa-mikail/demo_timing_attack,16,"cipher_mode, symmetric",True,
detect_human_language,ursa-mikail,Python,public,https://github.com/ursa-mikail/detect_human_language,0,,True,
docker_basics,ursa-mikail,Dockerfile,public,https://github.com/ursa-mikail/docker_basics,0,,True,
data_format,ursa-mikail,Python,public,https://github.com/ursa-mikail/data_format,101,"cipher_mode, fpe_token, hash_func, kdf, py_import, random, signature, symmetric",True,
double_linked_list_chained_permit,ursa-mikail,Go,public,https://github.com/ursa-mikail/double_linked_list_chained_permit,30,"key_mgmt, py_import, symmetric",True,
emotions_clusters,ursa-mikail,,public,https://github.com/ursa-mikail/emotions_clusters,0,,True,
ElGamal_mix_net_shuffle,ursa-mikail,Python,public,https://github.com/ursa-mikail/ElGamal_mix_net_shuffle,97,"asymmetric, post_quantum, symmetric, zkp",True,
entropy_comparison_word_lists_vs_random_data,ursa-mikail,Python,public,https://github.com/ursa-mikail/entropy_comparison_word_lists_vs_random_data,2,symmetric,True,
emotion_tree_visualization,ursa-mikail,Python,public,https://github.com/ursa-mikail/emotion_tree_visualization,2,symmetric,True,
fiat_shamir,ursa-mikail,Python,public,https://github.com/ursa-mikail/fiat_shamir,4,"hash_func, signature",True,
environment_compatibility_checker,ursa-mikail,Python,public,https://github.com/ursa-mikail/environment_compatibility_checker,5,"asymmetric, fpe_token, kdf, symmetric",True,
erasure_coding,ursa-mikail,Python,public,https://github.com/ursa-mikail/erasure_coding,5,"py_import, random, symmetric",True,
extracting_specific_frames_from_video_with_pytorch,ursa-mikail,HTML,public,https://github.com/ursa-mikail/extracting_specific_frames_from_video_with_pytorch,7,"cipher_mode, fpe_token, symmetric",True,
file_activity_monitor_with_sha_256_hash_calculation,ursa-mikail,Python,public,https://github.com/ursa-mikail/file_activity_monitor_with_sha_256_hash_calculation,1,py_import,True,
file_format_identifying,ursa-mikail,Python,public,https://github.com/ursa-mikail/file_format_identifying,0,,True,
flask-for-server_curl_simple,ursa-mikail,HTML,public,https://github.com/ursa-mikail/flask-for-server_curl_simple,0,,True,
flask_file_encryption_and_decryption,ursa-mikail,Python,public,https://github.com/ursa-mikail/flask_file_encryption_and_decryption,65,"cipher_mode, dependency, kdf, key_mgmt, py_import, symmetric",True,
flask_hello,ursa-mikail,Python,public,https://github.com/ursa-mikail/flask_hello,1,symmetric,True,
file_embedded_with_file_with_LSB_encoding,ursa-mikail,Python,public,https://github.com/ursa-mikail/file_embedded_with_file_with_LSB_encoding,11,"hash_func, symmetric",True,
folder_file_profiling,ursa-mikail,Python,public,https://github.com/ursa-mikail/folder_file_profiling,1,symmetric,True,
flow_link,ursa-mikail,HTML,public,https://github.com/ursa-mikail/flow_link,108,symmetric,True,
fpe_with_key_versioning,ursa-mikail,Go,public,https://github.com/ursa-mikail/fpe_with_key_versioning,24,"fpe_token, kdf, symmetric",True,
folder_json_zip_conversion,ursa-mikail,Python,public,https://github.com/ursa-mikail/folder_json_zip_conversion,0,,True,
form-signer,ursa-mikail,TypeScript,public,https://github.com/ursa-mikail/form-signer,2,signature,True,
git_as_reminder_service,ursa-mikail,,public,https://github.com/ursa-mikail/git_as_reminder_service,0,,True,
git_all_repo_static,ursa-mikail,HTML,public,https://github.com/ursa-mikail/git_all_repo_static,21,"fpe_token, kdf, symmetric",True,
glassworm_attack_illustration,ursa-mikail,Python,public,https://github.com/ursa-mikail/glassworm_attack_illustration,7,"hash_func, py_import, symmetric",True,
golang-gaia-basic-structure,ursa-mikail,Go,public,https://github.com/ursa-mikail/golang-gaia-basic-structure,0,,True,
Golang-Introspect-Utility,ursa-mikail,Go,public,https://github.com/ursa-mikail/Golang-Introspect-Utility,4,symmetric,True,
go_sample_scaffold_working_structure,ursa-mikail,Go,public,https://github.com/ursa-mikail/go_sample_scaffold_working_structure,0,,True,
guide_to_security_notions_in_modern_encryption_ind_cpa_ind_cca1_and_ind_cca2,ursa-mikail,,public,https://github.com/ursa-mikail/guide_to_security_notions_in_modern_encryption_ind_cpa_ind_cca1_and_ind_cca2,4,"cipher_mode, symmetric",True,
heart_disease_prediction_model,ursa-mikail,Python,public,https://github.com/ursa-mikail/heart_disease_prediction_model,0,,True,
hello_lattigo_demo,ursa-mikail,Go,public,https://github.com/ursa-mikail/hello_lattigo_demo,6,"post_quantum, symmetric",True,
golang_file_encryption_and_decryption,ursa-mikail,Go,public,https://github.com/ursa-mikail/golang_file_encryption_and_decryption,37,"cipher_mode, fpe_token, kdf, key_mgmt, symmetric",True,
iframed_multiple_readmes,ursa-mikail,HTML,public,https://github.com/ursa-mikail/iframed_multiple_readmes,3,symmetric,True,
hybrid_key_cipher,ursa-mikail,Go,public,https://github.com/ursa-mikail/hybrid_key_cipher,45,"cipher_mode, kdf, post_quantum, signature, symmetric",True,
install_jupyter,ursa-mikail,Shell,public,https://github.com/ursa-mikail/install_jupyter,0,,True,
image_registry,ursa-mikail,Python,public,https://github.com/ursa-mikail/image_registry,11,"kdf, py_import",True,
image_blur_effect,ursa-mikail,Python,public,https://github.com/ursa-mikail/image_blur_effect,0,,True,
image_recoloring_with_histogram,ursa-mikail,Python,public,https://github.com/ursa-mikail/image_recoloring_with_histogram,0,,True,
in_mem_context_level_encrypted_key_material_store,ursa-mikail,Go,public,https://github.com/ursa-mikail/in_mem_context_level_encrypted_key_material_store,14,"asymmetric, cipher_mode, symmetric",True,
JSON_Filesystem_Emulator,ursa-mikail,Python,public,https://github.com/ursa-mikail/JSON_Filesystem_Emulator,1,symmetric,True,
key_lifecycle_statemachine,ursa-mikail,Go,public,https://github.com/ursa-mikail/key_lifecycle_statemachine,21,"asymmetric, key_mgmt, signature, symmetric",True,
Kharon,ursa-mikail,Python,public,https://github.com/ursa-mikail/Kharon,20,"cipher_mode, kdf, py_import, random, symmetric",True,
KZG_polynomial_commitments,ursa-mikail,Go,public,https://github.com/ursa-mikail/KZG_polynomial_commitments,6,"signature, symmetric, zkp",True,
lamport_hash_signature,ursa-mikail,Python,public,https://github.com/ursa-mikail/lamport_hash_signature,13,"asymmetric, post_quantum, py_import, random, symmetric",True,
jwt_rsa_ecc,ursa-mikail,CSS,public,https://github.com/ursa-mikail/jwt_rsa_ecc,81,"asymmetric, cipher_mode, hash_func, kdf, key_mgmt, signature, symmetric",True,
leansig_sdk_usage_tutorial,ursa-mikail,Rust,public,https://github.com/ursa-mikail/leansig_sdk_usage_tutorial,5,"post_quantum, symmetric",True,
length_preserving_cipher_using_ciphertext_stealing,ursa-mikail,Python,public,https://github.com/ursa-mikail/length_preserving_cipher_using_ciphertext_stealing,350,"cipher_mode, fpe_token, kdf, py_import, random, symmetric",True,
LEAN_LEET_-33-_-3-,ursa-mikail,Python,public,https://github.com/ursa-mikail/LEAN_LEET_-33-_-3-,16,symmetric,True,
linearity_in_aes_xts_multipliers,ursa-mikail,Python,public,https://github.com/ursa-mikail/linearity_in_aes_xts_multipliers,22,"cipher_mode, symmetric",True,
location_display,ursa-mikail,Python,public,https://github.com/ursa-mikail/location_display,1,symmetric,True,
livemetrics,ursa-mikail,TypeScript,public,https://github.com/ursa-mikail/livemetrics,5,kdf,True,
media_utilities,ursa-mikail,Python,public,https://github.com/ursa-mikail/media_utilities,0,,True,
memory_dumper_program_demo,ursa-mikail,C,public,https://github.com/ursa-mikail/memory_dumper_program_demo,0,,True,
memory_management_context,ursa-mikail,C,public,https://github.com/ursa-mikail/memory_management_context,5,symmetric,True,
memory_layout,ursa-mikail,Python,public,https://github.com/ursa-mikail/memory_layout,1,py_import,True,
mem_safe_copy_transfer,ursa-mikail,Go,public,https://github.com/ursa-mikail/mem_safe_copy_transfer,1,symmetric,True,
mikail-eliyah.github.io,ursa-mikail,HTML,public,https://github.com/ursa-mikail/mikail-eliyah.github.io,2,asymmetric,True,
mechanisms,ursa-mikail,Python,public,https://github.com/ursa-mikail/mechanisms,731,"asymmetric, cipher_mode, kdf, key_mgmt, py_import, random, signature, symmetric, zkp",True,
merkle_tree,ursa-mikail,Python,public,https://github.com/ursa-mikail/merkle_tree,36,"asymmetric, py_import, symmetric",True,
mem_remap,ursa-mikail,Go,public,https://github.com/ursa-mikail/mem_remap,1,symmetric,True,
mount_google_drive_to_colab,ursa-mikail,Python,public,https://github.com/ursa-mikail/mount_google_drive_to_colab,0,,True,
mtls_termination_with_server_key_inspection,ursa-mikail,Shell,public,https://github.com/ursa-mikail/mtls_termination_with_server_key_inspection,6,symmetric,True,
multi_event_deterministic_uncertainty_scoring_analysis__medusa,ursa-mikail,Python,public,https://github.com/ursa-mikail/multi_event_deterministic_uncertainty_scoring_analysis__medusa,3,symmetric,True,
mutex_payment,ursa-mikail,Python,public,https://github.com/ursa-mikail/mutex_payment,1,symmetric,True,
name-replacement-lookup,ursa-mikail,Python,public,https://github.com/ursa-mikail/name-replacement-lookup,0,,True,
nist_sp800_90b_tool_usage,ursa-mikail,Shell,public,https://github.com/ursa-mikail/nist_sp800_90b_tool_usage,7,random,True,
ollama_guide,ursa-mikail,Python,public,https://github.com/ursa-mikail/ollama_guide,3,symmetric,True,
paillier_cryptosystem,ursa-mikail,Python,public,https://github.com/ursa-mikail/paillier_cryptosystem,0,,True,
paillier_homomorphic_encryption_with_ui,ursa-mikail,Python,public,https://github.com/ursa-mikail/paillier_homomorphic_encryption_with_ui,0,,True,
openssl_gpg,ursa-mikail,Shell,public,https://github.com/ursa-mikail/openssl_gpg,35,"asymmetric, key_mgmt, py_import, signature, symmetric",True,
openssl_pqc_tutorial,ursa-mikail,Makefile,public,https://github.com/ursa-mikail/openssl_pqc_tutorial,334,"asymmetric, post_quantum, signature, symmetric",True,
performance_monitoring,ursa-mikail,Go,public,https://github.com/ursa-mikail/performance_monitoring,0,,True,
payment_statemachine_infra,ursa-mikail,TypeScript,public,https://github.com/ursa-mikail/payment_statemachine_infra,2,symmetric,True,
policy_as_code_automation_for_ai_agents_at_scale,ursa-mikail,Python,public,https://github.com/ursa-mikail/policy_as_code_automation_for_ai_agents_at_scale,44,"cipher_mode, py_import, symmetric",True,
plot_3d_intro,ursa-mikail,Python,public,https://github.com/ursa-mikail/plot_3d_intro,1,symmetric,True,
polynomial_modulo_plotting,ursa-mikail,Python,public,https://github.com/ursa-mikail/polynomial_modulo_plotting,0,,True,
preventing_identity_spoofing_with_nonce_based_verification,ursa-mikail,Python,public,https://github.com/ursa-mikail/preventing_identity_spoofing_with_nonce_based_verification,33,"kdf, py_import, signature",True,
probability_decision_tree,ursa-mikail,Python,public,https://github.com/ursa-mikail/probability_decision_tree,0,,True,
proof_of_work,ursa-mikail,Go,public,https://github.com/ursa-mikail/proof_of_work,1,signature,True,
profile_secure_sharing,ursa-mikail,Python,public,https://github.com/ursa-mikail/profile_secure_sharing,195,"cipher_mode, kdf, py_import, random, signature, symmetric",True,
pqc_mechanisms,ursa-mikail,Python,public,https://github.com/ursa-mikail/pqc_mechanisms,203,"asymmetric, post_quantum, py_import, signature, symmetric",True,
Python-Introspect-Utility,ursa-mikail,Python,public,https://github.com/ursa-mikail/Python-Introspect-Utility,7,symmetric,True,
pqc_crypto_joints,ursa-mikail,Go,public,https://github.com/ursa-mikail/pqc_crypto_joints,766,"asymmetric, cipher_mode, kdf, post_quantum, signature, symmetric",True,
python_api_site,ursa-mikail,Python,public,https://github.com/ursa-mikail/python_api_site,35,"cipher_mode, dependency, kdf, py_import, random, symmetric",True,
python_argparse_demo,ursa-mikail,,public,https://github.com/ursa-mikail/python_argparse_demo,1,symmetric,True,
python_function_call_graph_generator,ursa-mikail,Python,public,https://github.com/ursa-mikail/python_function_call_graph_generator,0,,True,
python_plot_intro,ursa-mikail,Python,public,https://github.com/ursa-mikail/python_plot_intro,0,,True,
qr_code_json_encoder_decoder_for_contact_share,ursa-mikail,Python,public,https://github.com/ursa-mikail/qr_code_json_encoder_decoder_for_contact_share,5,"random, symmetric",True,
randomized_device_connections_with_directions,ursa-mikail,Python,public,https://github.com/ursa-mikail/randomized_device_connections_with_directions,13,symmetric,True,
reference_codes,ursa-mikail,Python,public,https://github.com/ursa-mikail/reference_codes,67,"asymmetric, key_mgmt, py_import, random, signature, symmetric",True,
ring_and_group_signatures,ursa-mikail,Python,public,https://github.com/ursa-mikail/ring_and_group_signatures,33,"asymmetric, key_mgmt, py_import, random, signature",True,
safety_assurance_numbers,ursa-mikail,Python,public,https://github.com/ursa-mikail/safety_assurance_numbers,16,"fpe_token, py_import, random, symmetric",True,
python-gaia,ursa-mikail,Python,public,https://github.com/ursa-mikail/python-gaia,247,"asymmetric, cipher_mode, fpe_token, hash_func, kdf, key_mgmt, py_import, random, signature, symmetric",True,
remote_go_agent_via_ssh,ursa-mikail,Go,public,https://github.com/ursa-mikail/remote_go_agent_via_ssh,7,"symmetric, zkp",True,
scenario_context_coverage_in_demo_presentations,ursa-mikail,Python,public,https://github.com/ursa-mikail/scenario_context_coverage_in_demo_presentations,0,,True,
scrambler,ursa-mikail,Python,public,https://github.com/ursa-mikail/scrambler,0,,True,
searchable_encryption_demo,ursa-mikail,Go,public,https://github.com/ursa-mikail/searchable_encryption_demo,279,"cipher_mode, kdf, key_mgmt, py_import, random, symmetric",True,
SDK_secure_membrane,ursa-mikail,Shell,public,https://github.com/ursa-mikail/SDK_secure_membrane,216,"asymmetric, cipher_mode, dependency, kdf, key_mgmt, py_import, random, signature, symmetric",True,
secure_cv_profile_system,ursa-mikail,Go,public,https://github.com/ursa-mikail/secure_cv_profile_system,44,"cipher_mode, py_import, symmetric",True,
secure_uefi_helloworld,ursa-mikail,Shell,public,https://github.com/ursa-mikail/secure_uefi_helloworld,47,"asymmetric, signature, symmetric",True,
sessional_secrecy,ursa-mikail,Jupyter Notebook,public,https://github.com/ursa-mikail/sessional_secrecy,57,"asymmetric, cipher_mode, kdf, key_mgmt, symmetric",True,
shell_menu_file_management,ursa-mikail,Shell,public,https://github.com/ursa-mikail/shell_menu_file_management,0,,True,
set_up_kaggle_access_given_ciphered_token_and_get_dataset,ursa-mikail,Python,public,https://github.com/ursa-mikail/set_up_kaggle_access_given_ciphered_token_and_get_dataset,16,"cipher_mode, kdf, symmetric",True,
shamir_share,ursa-mikail,Go,public,https://github.com/ursa-mikail/shamir_share,54,"cipher_mode, random, symmetric, zkp",True,
pqc_golang_demo,ursa-mikail,Go,public,https://github.com/ursa-mikail/pqc_golang_demo,2097,"asymmetric, cipher_mode, hash_func, kdf, key_mgmt, post_quantum, signature, symmetric, zkp",True,
shell_secret_keep,ursa-mikail,Shell,public,https://github.com/ursa-mikail/shell_secret_keep,14,"random, symmetric",True,
shell_menu_rsa_sign,ursa-mikail,Shell,public,https://github.com/ursa-mikail/shell_menu_rsa_sign,19,"asymmetric, key_mgmt, signature",True,
shell_script_utility,ursa-mikail,Shell,public,https://github.com/ursa-mikail/shell_script_utility,238,"asymmetric, cipher_mode, hash_func, kdf, random, signature, symmetric",True,
signals_and_noise,ursa-mikail,Python,public,https://github.com/ursa-mikail/signals_and_noise,3,cipher_mode,True,
stable_diffusion_basics,ursa-mikail,Python,public,https://github.com/ursa-mikail/stable_diffusion_basics,0,,True,
templates,ursa-mikail,Go,public,https://github.com/ursa-mikail/templates,11,"fpe_token, symmetric",True,
terraform_architecture_diagram_draw,ursa-mikail,Python,public,https://github.com/ursa-mikail/terraform_architecture_diagram_draw,34,symmetric,True,
statistical_distribution_testing_cookbook,ursa-mikail,Python,public,https://github.com/ursa-mikail/statistical_distribution_testing_cookbook,0,,True,
Test_Framework_For_Reversible_Action,ursa-mikail,Python,public,https://github.com/ursa-mikail/Test_Framework_For_Reversible_Action,36,"asymmetric, cipher_mode, hash_func, key_mgmt, py_import, random, symmetric",True,
text_diff_utilities,ursa-mikail,Python,public,https://github.com/ursa-mikail/text_diff_utilities,2,symmetric,True,
threat_modeling_framework_and_sop,ursa-mikail,,public,https://github.com/ursa-mikail/threat_modeling_framework_and_sop,22,"signature, symmetric",True,
test_ground_observatory_zone_00,ursa-mikail,HTML,public,https://github.com/ursa-mikail/test_ground_observatory_zone_00,4,symmetric,True,
site_announcement,ursa-mikail,HTML,public,https://github.com/ursa-mikail/site_announcement,500,"asymmetric, cipher_mode, fpe_token, hash_func, kdf, key_mgmt, post_quantum, random, signature, symmetric, zkp",True,
tokenized_data_encryption_and_decryption,ursa-mikail,Python,public,https://github.com/ursa-mikail/tokenized_data_encryption_and_decryption,23,"cipher_mode, fpe_token, kdf, symmetric",True,
Time_Complexity_Visualization,ursa-mikail,Python,public,https://github.com/ursa-mikail/Time_Complexity_Visualization,0,,True,
time_formats,ursa-mikail,Python,public,https://github.com/ursa-mikail/time_formats,18,"asymmetric, key_mgmt, py_import, signature, symmetric",True,
tree_pruning_text,ursa-mikail,Python,public,https://github.com/ursa-mikail/tree_pruning_text,2,symmetric,True,
trial_ffx_based_on_ff1,ursa-mikail,Go,public,https://github.com/ursa-mikail/trial_ffx_based_on_ff1,64,"cipher_mode, fpe_token, post_quantum, symmetric",True,
trial_high_availability_stress_testing_for_aes_gcm_key_rotation,ursa-mikail,Go,public,https://github.com/ursa-mikail/trial_high_availability_stress_testing_for_aes_gcm_key_rotation,31,"cipher_mode, symmetric",True,
trial_multiply_functions_benchmark,ursa-mikail,Go,public,https://github.com/ursa-mikail/trial_multiply_functions_benchmark,18,"symmetric, zkp",True,
toolings,ursa-mikail,HTML,public,https://github.com/ursa-mikail/toolings,156,"asymmetric, cipher_mode, fpe_token, kdf, key_mgmt, py_import, signature, symmetric",True,
uml,ursa-mikail,,public,https://github.com/ursa-mikail/uml,7,"fpe_token, kdf",True,
ursa-mikail,ursa-mikail,,public,https://github.com/ursa-mikail/ursa-mikail,0,,True,
trial_QR_file,ursa-mikail,Go,public,https://github.com/ursa-mikail/trial_QR_file,22,"cipher_mode, kdf, random, symmetric",True,
ursa_bbs_python,ursa-mikail,Rust,public,https://github.com/ursa-mikail/ursa_bbs_python,37,"asymmetric, random, signature, symmetric, zkp",True,
verifiable_random_functions,ursa-mikail,Python,public,https://github.com/ursa-mikail/verifiable_random_functions,17,"py_import, random, signature, symmetric",True,
visualizing_kalman_filter_for_noise_reduction,ursa-mikail,Python,public,https://github.com/ursa-mikail/visualizing_kalman_filter_for_noise_reduction,0,,True,
user_profile_venn_diagrams,ursa-mikail,Python,public,https://github.com/ursa-mikail/user_profile_venn_diagrams,0,,True,
word_cloud_maker,ursa-mikail,Python,public,https://github.com/ursa-mikail/word_cloud_maker,2,hash_func,True,
yubi_util_demo,ursa-mikail,Shell,public,https://github.com/ursa-mikail/yubi_util_demo,14,"signature, symmetric, zkp",True,
yaml_tree_visualization,ursa-mikail,Python,public,https://github.com/ursa-mikail/yaml_tree_visualization,10,symmetric,True,
zk_test_plugin,ursa-mikail,Rust,public,https://github.com/ursa-mikail/zk_test_plugin,0,,True,
x509_js,ursa-mikail,CSS,public,https://github.com/ursa-mikail/x509_js,94,"asymmetric, cipher_mode, hash_func, kdf, key_mgmt, signature, symmetric",True,
yubikey_usage,ursa-mikail,Shell,public,https://github.com/ursa-mikail/yubikey_usage,35,"asymmetric, dependency, key_mgmt, py_import, random, signature, symmetric",True,
app_site_demo,ursa-mikail,Shell,public,https://github.com/ursa-mikail/app_site_demo,7245,"asymmetric, cipher_mode, fpe_token, hash_func, kdf, key_mgmt, signature, symmetric",True,
